,pitch,velocity,start,end,duration,velocity_quantized,start_quantized,end_quantized
0,50,77,0.6136363636363636,0.6818181818181818,0.06818181818181812,75,0.6000000000000001,0.7000000000000001
1,74,90,0.6272727272727272,0.9340909090909091,0.3068181818181819,90,0.65,0.9500000000000001
2,49,78,0.6704545454545454,0.7704545454545454,0.09999999999999998,80,0.65,0.75
3,50,73,0.7568181818181818,1.1318181818181818,0.375,75,0.75,1.1500000000000001
4,72,85,0.8999999999999999,1.0409090909090908,0.14090909090909087,85,0.9,1.05
5,70,79,1.0204545454545455,1.175,0.15454545454545454,80,1,1.2000000000000002
6,69,77,1.143181818181818,1.2545454545454544,0.11136363636363633,75,1.1500000000000001,1.25
7,38,77,1.15,1.6772727272727272,0.5272727272727273,75,1.1500000000000001,1.7000000000000002
8,67,78,1.2568181818181818,1.3977272727272727,0.14090909090909087,80,1.25,1.4000000000000001
9,65,82,1.3772727272727272,1.5136363636363637,0.13636363636363646,80,1.4000000000000001,1.5
10,64,81,1.4931818181818182,1.6045454545454545,0.11136363636363633,80,1.5,1.6
11,62,81,1.6022727272727273,1.7272727272727273,0.125,80,1.6,1.75
12,65,78,1.709090909090909,1.8272727272727272,0.11818181818181817,80,1.7000000000000002,1.85
13,64,76,1.8227272727272725,1.909090909090909,0.08636363636363642,75,1.8,1.9000000000000001
14,62,76,1.9227272727272726,2.034090909090909,0.11136363636363655,75,1.9000000000000001,2.0500000000000003
15,70,66,2.043181818181818,2.134090909090909,0.09090909090909083,65,2.0500000000000003,2.15
16,67,59,2.159090909090909,2.234090909090909,0.07499999999999973,60,2.15,2.25
17,62,64,2.284090909090909,2.4,0.11590909090909074,65,2.3000000000000003,2.4000000000000004
18,38,62,2.3045454545454542,2.359090909090909,0.054545454545454675,60,2.3000000000000003,2.35
19,67,55,2.4068181818181817,2.502272727272727,0.09545454545454524,55,2.4000000000000004,2.5
20,70,68,2.5318181818181817,2.620454545454545,0.0886363636363634,70,2.5500000000000003,2.6
21,43,69,2.540909090909091,2.5795454545454546,0.03863636363636358,70,2.5500000000000003,2.6
22,67,61,2.6568181818181817,2.7409090909090907,0.084090909090909,60,2.6500000000000004,2.75
23,62,61,2.7636363636363637,2.8613636363636363,0.09772727272727266,60,2.75,2.85
24,46,75,2.7636363636363637,2.809090909090909,0.045454545454545414,75,2.75,2.8000000000000003
25,67,50,2.877272727272727,2.9636363636363634,0.08636363636363642,50,2.9000000000000004,2.95
26,50,79,2.9909090909090907,3.061363636363636,0.07045454545454533,80,3,3.0500000000000003
27,70,74,3.0113636363636362,3.1045454545454545,0.09318181818181825,75,3,3.1
28,49,74,3.0522727272727272,3.1477272727272725,0.09545454545454524,75,3.0500000000000003,3.1500000000000004
29,67,74,3.1113636363636363,3.209090909090909,0.09772727272727266,75,3.1,3.2
30,50,75,3.15,3.418181818181818,0.2681818181818181,75,3.1500000000000004,3.4000000000000004
31,62,67,3.227272727272727,3.375,0.14772727272727293,65,3.25,3.4000000000000004
32,67,64,3.3727272727272726,3.4727272727272727,0.10000000000000009,65,3.35,3.45
33,69,68,3.4749999999999996,3.5954545454545452,0.12045454545454559,70,3.45,3.6
34,67,66,3.6045454545454545,3.6999999999999997,0.09545454545454524,65,3.6,3.7
35,38,70,3.7068181818181816,3.759090909090909,0.05227272727272725,70,3.7,3.75
36,62,68,3.7249999999999996,3.8499999999999996,0.125,70,3.7,3.85
37,67,64,3.852272727272727,3.9568181818181816,0.1045454545454545,65,3.85,3.95
38,41,87,3.940909090909091,3.9909090909090907,0.04999999999999982,85,3.95,4
39,69,79,3.959090909090909,4.059090909090909,0.09999999999999964,80,3.95,4.05
40,65,72,4.0636363636363635,4.161363636363636,0.09772727272727266,70,4.05,4.15
41,45,84,4.172727272727273,4.215909090909091,0.04318181818181799,85,4.15,4.2
42,62,68,4.179545454545455,4.297727272727273,0.11818181818181817,70,4.2,4.3
43,65,63,4.297727272727273,4.3977272727272725,0.09999999999999964,65,4.3,4.4
44,50,83,4.418181818181818,4.488636363636363,0.07045454545454533,85,4.4,4.5
45,69,76,4.420454545454545,4.5227272727272725,0.10227272727272751,75,4.4,4.5
46,49,77,4.4795454545454545,4.584090909090909,0.1045454545454545,75,4.5,4.6000000000000005
47,65,75,4.5204545454545455,4.631818181818182,0.11136363636363633,75,4.5,4.65
48,50,81,4.572727272727272,4.879545454545454,0.30681818181818166,80,4.55,4.9
49,62,71,4.640909090909091,4.779545454545454,0.13863636363636367,70,4.65,4.800000000000001
50,65,78,4.752272727272727,4.861363636363636,0.10909090909090935,80,4.75,4.8500000000000005
51,67,85,4.875,4.993181818181818,0.11818181818181817,85,4.9,5
52,64,78,4.977272727272727,5.088636363636363,0.11136363636363633,80,5,5.1000000000000005
53,58,94,5.1045454545454545,5.179545454545455,0.07500000000000018,95,5.1000000000000005,5.2
54,62,75,5.113636363636363,5.222727272727273,0.10909090909090935,75,5.1000000000000005,5.2
55,64,72,5.215909090909091,5.340909090909091,0.125,70,5.2,5.3500000000000005
56,67,77,5.331818181818181,5.447727272727272,0.11590909090909118,75,5.3500000000000005,5.45
57,52,82,5.334090909090909,5.390909090909091,0.05681818181818166,80,5.3500000000000005,5.4
58,64,66,5.470454545454545,5.5636363636363635,0.0931818181818187,65,5.45,5.550000000000001
59,55,86,5.568181818181818,5.631818181818182,0.06363636363636349,85,5.550000000000001,5.65
60,61,70,5.577272727272727,5.665909090909091,0.08863636363636385,70,5.6000000000000005,5.65
61,64,68,5.6863636363636365,5.818181818181818,0.13181818181818183,70,5.7,5.800000000000001
